year,inflation_rate,economic_period,hyperinflation_period,source
1981,101.725075,Pre-Plano Real,true,World Bank
1982,100.54336,Pre-Plano Real,true,World Bank
1983,135.02768,Pre-Plano Real,true,World Bank
1984,192.12173,Pre-Plano Real,true,World Bank
1985,225.98967,Pre-Plano Real,true,World Bank
1986,147.14282,Pre-Plano Real,true,World Bank
1987,228.33617,Pre-Plano Real,true,World Bank
1988,629.1145,Pre-Plano Real,true,World Bank
1989,1430.7238,Pre-Plano Real,true,World Bank
1990,2947.7327,Pre-Plano Real,true,World Bank
1991,432.78665,Pre-Plano Real,true,World Bank
1992,951.96204,Pre-Plano Real,true,World Bank
1993,1927.3807,Pre-Plano Real,true,World Bank
1994,2075.8884,Post-Plano Real,false,World Bank
1995,66.007034,Post-Plano Real,false,World Bank
1996,15.757666,Post-Plano Real,false,World Bank
1997,6.9267125,Post-Plano Real,false,World Bank
1998,3.1950762,Post-Plano Real,false,World Bank
1999,4.8584476,Post-Plano Real,false,World Bank
2000,7.0441413,Post-Plano Real,false,World Bank
2001,6.840359,Post-Plano Real,false,World Bank
2002,8.450165,Post-Plano Real,false,World Bank
2003,14.71492,Post-Plano Real,false,World Bank
2004,6.597185,Post-Plano Real,false,World Bank
2005,6.8695374,Post-Plano Real,false,World Bank
2006,4.183568,Post-Plano Real,false,World Bank
2007,3.641273,Post-Plano Real,false,World Bank
2008,5.678594,Post-Plano Real,false,World Bank
2009,4.888035,Post-Plano Real,false,World Bank
2010,5.038727,Post-Plano Real,false,World Bank
2011,6.63645,Post-Plano Real,false,World Bank
2012,5.403499,Post-Plano Real,false,World Bank
2013,6.204311,Post-Plano Real,false,World Bank
2014,6.32904,Post-Plano Real,false,World Bank
2015,9.029901,Post-Plano Real,false,World Bank
2016,8.739143,Post-Plano Real,false,World Bank
2017,3.4463735,Post-Plano Real,false,World Bank
2018,3.6648502,Post-Plano Real,false,World Bank
2019,3.7329762,Post-Plano Real,false,World Bank
2020,3.2117682,Post-Plano Real,false,World Bank
2021,8.30166,Post-Plano Real,false,World Bank
2022,9.280107,Post-Plano Real,false,World Bank
2023,4.5935626,Post-Plano Real,false,World Bank
2024,4.367464,Post-Plano Real,false,World Bank
